Time - Plot 0	Amplitude - Plot 0
0	-2.18E-05
0.0001	1.06E-05
0.0002	1.06E-05
0.0003	1.06E-05
0.0004	-2.18E-05
0.0005	-5.43E-05
0.0006	0.000140483
0.0007	1.06E-05
0.0008	7.56E-05
0.0009	7.56E-05
0.001	1.06E-05
0.0011	4.31E-05
0.0012	1.06E-05
0.0013	4.31E-05
0.0014	0.000108018
0.0015	0.000140483
0.0016	1.06E-05
0.0017	7.56E-05
0.0018	0.000140483
0.0019	0.000205413
0.002	7.56E-05
0.0021	0.000108018
0.0022	-5.43E-05
0.0023	0.000108018
0.0024	0.000237877
0.0025	0.000237877
0.0026	0.000108018
0.0027	4.31E-05
0.0028	-5.43E-05
0.0029	0.000140483
0.003	0.000108018
0.0031	0.000237877
0.0032	0.000140483
0.0033	1.06E-05
0.0034	1.06E-05
0.0035	0.000140483
0.0036	0.000205413
0.0037	0.000140483
0.0038	0.000172948
0.0039	-2.18E-05
0.004	0.000172948
0.0041	0.000108018
0.0042	0.000140483
0.0043	0.000140483
0.0044	0.000270342
0.0045	0.000270342
0.0046	0.000172948
0.0047	0.000205413
0.0048	0.000108018
0.0049	0.000140483
0.005	0.000237877
0.0051	0.000205413
0.0052	0.000205413
0.0053	0.000140483
0.0054	0.000172948
0.0055	0.000270342
0.0056	0.000237877
0.0057	0.000237877
0.0058	0.000270342
0.0059	0.000237877
0.006	0.000237877
0.0061	0.000172948
0.0062	0.000140483
0.0063	0.000140483
0.0064	0.000335272
0.0065	0.000237877
0.0066	0.000270342
0.0067	0.000140483
0.0068	0.000140483
0.0069	0.000270342
0.007	0.000400202
0.0071	0.000205413
0.0072	0.000172948
0.0073	0.000335272
0.0074	0.000270342
0.0075	0.000205413
0.0076	0.000335272
0.0077	0.000302807
0.0078	0.000205413
0.0079	0.000302807
0.008	0.000302807
0.0081	0.000270342
0.0082	0.000367737
0.0083	0.000302807
0.0084	0.000302807
0.0085	0.000367737
0.0086	0.000400202
0.0087	0.000465131
0.0088	0.000335272
0.0089	0.000367737
0.009	0.000400202
0.0091	0.000335272
0.0092	0.000302807
0.0093	0.000400202
0.0094	0.000400202
0.0095	0.000367737
0.0096	0.000400202
0.0097	0.000562526
0.0098	0.000465131
0.0099	0.000465131
0.01	0.000465131
0.0101	0.000432667
0.0102	0.000400202
0.0103	0.000432667
0.0104	0.000497596
0.0105	0.000465131
0.0106	0.000432667
0.0107	0.000530061
0.0108	0.000335272
0.0109	0.000497596
0.011	0.000497596
0.0111	0.000627456
0.0112	0.000562526
0.0113	0.000562526
0.0114	0.000497596
0.0115	0.000594991
0.0116	0.000562526
0.0117	0.000594991
0.0118	0.000465131
0.0119	0.000627456
0.012	0.000497596
0.0121	0.000530061
0.0122	0.000562526
0.0123	0.000562526
0.0124	0.000432667
0.0125	0.000562526
0.0126	0.000692385
0.0127	0.000562526
0.0128	0.000562526
0.0129	0.000659921
0.013	0.000562526
0.0131	0.000594991
0.0132	0.000692385
0.0133	0.000627456
0.0134	0.000594991
0.0135	0.000659921
0.0136	0.000692385
0.0137	0.000594991
0.0138	0.000692385
0.0139	0.000659921
0.014	0.000757315
0.0141	0.00072485
0.0142	0.000627456
0.0143	0.000659921
0.0144	0.000659921
0.0145	0.000659921
0.0146	0.000659921
0.0147	0.000692385
0.0148	0.000692385
0.0149	0.00072485
0.015	0.00072485
0.0151	0.00072485
0.0152	0.000627456
0.0153	0.00072485
0.0154	0.000627456
0.0155	0.00078978
0.0156	0.00078978
0.0157	0.00078978
0.0158	0.000822245
0.0159	0.000757315
0.016	0.00078978
0.0161	0.00078978
0.0162	0.00085471
0.0163	0.00091964
0.0164	0.000822245
0.0165	0.00085471
0.0166	0.000757315
0.0167	0.000757315
0.0168	0.000887175
0.0169	0.000887175
0.017	0.000887175
0.0171	0.00091964
0.0172	0.000887175
0.0173	0.00085471
0.0174	0.00078978
0.0175	0.00085471
0.0176	0.000952104
0.0177	0.00091964
0.0178	0.00085471
0.0179	0.000822245
0.018	0.00091964
0.0181	0.000984569
0.0182	0.000822245
0.0183	0.00091964
0.0184	0.000984569
0.0185	0.00101703
0.0186	0.000952104
0.0187	0.000952104
0.0188	0.000984569
0.0189	0.0010495
0.019	0.000887175
0.0191	0.00101703
0.0192	0.00101703
0.0193	0.000984569
0.0194	0.000887175
0.0195	0.00101703
0.0196	0.00108196
0.0197	0.00101703
0.0198	0.0010495
0.0199	0.000887175
0.02	0.00101703
0.0201	0.0010495
0.0202	0.00117936
0.0203	0.0010495
0.0204	0.00101703
0.0205	0.00101703
0.0206	0.0010495
0.0207	0.00111443
0.0208	0.00117936
0.0209	0.00117936
0.021	0.00114689
0.0211	0.00108196
0.0212	0.0010495
0.0213	0.00121182
0.0214	0.00117936
0.0215	0.00114689
0.0216	0.00117936
0.0217	0.00121182
0.0218	0.00111443
0.0219	0.00108196
0.022	0.00114689
0.0221	0.00117936
0.0222	0.00114689
0.0223	0.00121182
0.0224	0.00117936
0.0225	0.00121182
0.0226	0.00124429
0.0227	0.00117936
0.0228	0.00114689
0.0229	0.00127675
0.023	0.00127675
0.0231	0.00130922
0.0232	0.00121182
0.0233	0.00124429
0.0234	0.00124429
0.0235	0.00127675
0.0236	0.00130922
0.0237	0.00127675
0.0238	0.00127675
0.0239	0.00127675
0.024	0.00121182
0.0241	0.00121182
0.0242	0.00127675
0.0243	0.00134168
0.0244	0.00124429
0.0245	0.00137415
0.0246	0.00124429
0.0247	0.00130922
0.0248	0.00127675
0.0249	0.00130922
0.025	0.00130922
0.0251	0.00130922
0.0252	0.00130922
0.0253	0.00137415
0.0254	0.00140661
0.0255	0.00140661
0.0256	0.00137415
0.0257	0.00147154
0.0258	0.00134168
0.0259	0.00143908
0.026	0.00134168
0.0261	0.00143908
0.0262	0.00147154
0.0263	0.00147154
0.0264	0.00140661
0.0265	0.00143908
0.0266	0.00140661
0.0267	0.00143908
0.0268	0.00147154
0.0269	0.00140661
0.027	0.00147154
0.0271	0.00143908
0.0272	0.00156894
0.0273	0.00156894
0.0274	0.00143908
0.0275	0.00156894
0.0276	0.00150401
0.0277	0.0016014
0.0278	0.00150401
0.0279	0.00156894
0.028	0.00150401
0.0281	0.00153647
0.0282	0.00143908
0.0283	0.00153647
0.0284	0.00156894
0.0285	0.00163387
0.0286	0.00150401
0.0287	0.00150401
0.0288	0.00143908
0.0289	0.00163387
0.029	0.0016014
0.0291	0.0016014
0.0292	0.00147154
0.0293	0.00163387
0.0294	0.00153647
0.0295	0.00156894
0.0296	0.00156894
0.0297	0.00153647
0.0298	0.00153647
0.0299	0.00153647
0.03	0.00163387
0.0301	0.00163387
0.0302	0.00166633
0.0303	0.00150401
0.0304	0.0016014
0.0305	0.00163387
0.0306	0.0016014
0.0307	0.00166633
0.0308	0.0016014
0.0309	0.00163387
0.031	0.00163387
0.0311	0.0016988
0.0312	0.00163387
0.0313	0.00163387
0.0314	0.00156894
0.0315	0.00166633
0.0316	0.00166633
0.0317	0.00176373
0.0318	0.0016988
0.0319	0.00163387
0.032	0.00166633
0.0321	0.0016014
