-0.150,0.442
-0.089,0.518
0.032,0.423
-0.036,0.551
0.109,0.509
-0.083,0.546
0.081,0.445
-0.038,0.298
-0.098,0.406
-0.078,0.350
0.177,0.437
-0.081,0.307
-0.111,0.422
0.049,0.483
0.073,0.497
-0.054,0.517
0.034,0.427
-0.081,0.506
0.140,0.568
0.064,0.421
0.174,0.551
0.201,0.614
0.079,0.382
0.059,0.413
0.182,0.408
0.160,0.602
0.228,0.651
0.116,0.472
0.015,0.447
0.190,0.368
0.054,0.391
0.148,0.383
-0.050,0.645
0.033,0.455
0.130,0.583
0.208,0.597
0.105,0.443
0.186,0.525
0.103,0.673
0.192,0.423
0.152,0.510
0.195,0.580
0.150,0.508
0.026,0.470
0.112,0.647
0.142,0.706
0.216,0.516
0.044,0.612
0.144,0.437
0.209,0.573
0.047,0.709
0.048,0.699
0.216,0.521
0.139,0.454
0.304,0.641
0.063,0.703
0.267,0.617
0.081,0.499
0.272,0.591
0.076,0.603
0.252,0.576
0.120,0.628
0.244,0.687
0.258,0.606
0.082,0.577
0.298,0.480
0.206,0.671
0.182,0.507
0.342,0.755
0.225,0.585
0.205,0.597
0.320,0.583
0.206,0.572
0.367,0.583
0.297,0.667
0.137,0.728
0.333,0.622
0.235,0.773
0.096,0.807
0.262,0.527
0.253,0.573
0.350,0.706
0.297,0.580
0.355,0.561
0.139,0.750
0.203,0.812
0.198,0.634
0.157,0.756
0.368,0.751
0.301,0.766
0.200,0.588
0.128,0.566
0.372,0.807
0.196,0.589
0.302,0.561
0.173,0.696
0.368,0.769
0.308,0.588
0.279,0.630
0.360,0.659
